Ref2#,SO#,Date,"Total Amount",Balance,Applied,Refunded,Currency
57215,US-S034082,02/19/2025,"$ 240.62","$ 240.62","$ 0.00","$ 0.00",USD
57240,US-S034109,02/20/2025,"$ 220.00","$ 220.00","$ 0.00","$ 0.00",USD
57801,US-S034766,03/22/2025,"$ 220.00","$ 220.00","$ 0.00","$ 0.00",USD
57335,US-S034226,02/26/2025,"$ 220.00","$ 220.00","$ 0.00","$ 0.00",USD
57266,CA-S034138,02/21/2025,"$ 219.24","$ 219.24","$ 0.00","$ 0.00",USD
57669,CA-S034613,03/15/2025,"$ 215.75","$ 215.75","$ 0.00","$ 0.00",USD
57219,US-S034086,02/19/2025,"$ 211.81","$ 211.81","$ 0.00","$ 0.00",USD
57660,US-S034604,03/15/2025,"$ 205.00","$ 205.00","$ 0.00","$ 0.00",USD
57797,US-S034762,03/21/2025,"$ 205.00","$ 205.00","$ 0.00","$ 0.00",USD
57668,US-S034612,03/15/2025,"$ 205.00","$ 205.00","$ 0.00","$ 0.00",USD
57330,US-S034221,02/26/2025,"$ 205.00","$ 205.00","$ 0.00","$ 0.00",USD
57432,US-S034335,03/04/2025,"$ 202.12","$ 202.12","$ 0.00","$ 0.00",USD
57229,US-S034096,02/20/2025,"$ 200.26","$ 200.26","$ 0.00","$ 0.00",USD
